,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,County Supervisorial 5," 6,294"," 1,230"," 3,379", 424, 14, 95, 25, 15, 67," 1,045"
,,,,,,,,,,,
,US Congressional 5," 32,316"," 8,172"," 15,463"," 2,056", 169, 609, 140, 90, 369," 5,248"
,,,,,,,,,,,
,State Senate 4," 32,316"," 8,172"," 15,463"," 2,056", 169, 609, 140, 90, 369," 5,248"
,,,,,,,,,,,
,State Assembly 8," 21,747"," 5,977"," 9,765"," 1,370", 139, 441, 102, 56, 261," 3,636"
,State Assembly 9," 10,569"," 2,195"," 5,698", 686, 30, 168, 38, 34, 108," 1,612"
,,,,,,,,,,,
,State Board of Equalization 1," 32,316"," 8,172"," 15,463"," 2,056", 169, 609, 140, 90, 369," 5,248"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Angels," 2,531", 653," 1,196", 162, 16, 65, 11, 7, 24, 397
,,,,,,,,,,,
,Unincorporated Area," 29,785"," 7,519"," 14,267"," 1,894", 153, 544, 129, 83, 345," 4,851"
Calaveras Totals,," 32,316"," 8,172"," 15,463"," 2,056", 169, 609, 140, 90, 369," 5,248"
     Percent,,,25.29%,47.85%,6.36%,0.52%,1.88%,0.43%,0.28%,1.14%,16.24%
,,,,,,,,,,,
Colusa,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,210", 773, 828, 82, 8, 40, 19, 0, 2, 458
,County Supervisorial 2," 2,301", 665," 1,006", 116, 5, 32, 15, 3, 6, 453
,County Supervisorial 3," 1,838", 676, 535, 64, 4, 18, 14, 1, 5, 521
,County Supervisorial 4," 1,862", 575, 823, 53, 8, 11, 14, 0, 7, 371
,County Supervisorial 5," 2,206", 555," 1,034", 100, 5, 26, 9, 1, 9, 467
,,,,,,,,,,,
,US Congressional 1," 10,417"," 3,244"," 4,226", 415, 30, 127, 71, 5, 29," 2,270"
,,,,,,,,,,,
,State Senate 1," 10,417"," 3,244"," 4,226", 415, 30, 127, 71, 5, 29," 2,270"
,,,,,,,,,,,
,State Assembly 4," 10,417"," 3,244"," 4,226", 415, 30, 127, 71, 5, 29," 2,270"
,,,,,,,,,,,
,State Board of Equalization 1," 10,417"," 3,244"," 4,226", 415, 30, 127, 71, 5, 29," 2,270"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Colusa," 3,140", 913," 1,313", 153, 8, 44, 20, 4, 10, 675
,Williams," 2,117", 900, 452, 65, 7, 21, 17, 1, 6, 648
,,,,,,,,,,,
,Unincorporated Area," 5,160"," 1,431"," 2,461", 197, 15, 62, 34, 0, 13, 947
Colusa Totals,," 10,417"," 3,244"," 4,226", 415, 30, 127, 71, 5, 29," 2,270"
     Percent,,,31.14%,40.57%,3.98%,0.29%,1.22%,0.68%,0.05%,0.28%,21.79%
,,,,,,,,,,,
Contra Costa,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 125,829"," 82,114"," 10,905"," 3,169", 909, 782," 1,049", 625, 483," 25,793"
,County Supervisorial 2," 168,192"," 81,515"," 37,986"," 5,945", 544," 1,446", 294, 425, 465," 39,572"
,County Supervisorial 3," 138,260"," 66,060"," 33,495"," 6,488", 511," 1,522", 850, 532, 456," 28,346"
,County Supervisorial 4," 152,293"," 78,963"," 30,866"," 6,204", 796," 1,666", 603, 465, 526," 32,204"
,County Supervisorial 5," 125,408"," 69,541"," 20,247"," 4,837", 640," 1,187", 985, 549, 473," 26,949"
,,,,,,,,,,,
,US Congressional 8," 236,232"," 144,468"," 27,224"," 7,351"," 1,426"," 1,717"," 2,040"," 1,152", 901," 49,953"
,US Congressional 9," 11,897"," 4,006"," 4,662", 695, 28, 158, 43, 43, 33," 2,229"
,US Congressional 10," 461,853"," 229,719"," 101,613"," 18,597"," 1,946"," 4,728"," 1,698"," 1,401"," 1,469"," 100,682"
,,,,,,,,,,,
,State Senate 3," 84,913"," 36,536"," 24,561"," 4,297", 283," 1,050", 417, 294, 265," 17,210"
,State Senate 7," 148,586"," 95,762"," 13,814"," 3,877"," 1,000", 940," 1,205", 708, 549," 30,731"
,State Senate 9," 476,483"," 245,895"," 95,124"," 18,469"," 2,117"," 4,613"," 2,159"," 1,594"," 1,589"," 104,923"
,,,,,,,,,,,
,State Assembly 11," 42,311"," 17,728"," 12,665"," 2,139", 151, 531, 217, 152, 138," 8,590"
,State Assembly 14," 148,595"," 95,767"," 13,816"," 3,877"," 1,001", 940," 1,205", 708, 549," 30,732"
,State Assembly 15," 302,295"," 157,411"," 59,672"," 12,879"," 1,474"," 3,165"," 1,937"," 1,184"," 1,075"," 63,498"
,State Assembly 16," 216,781"," 107,287"," 47,346"," 7,748", 774," 1,967", 422, 552, 641," 50,044"
,,,,,,,,,,,
,State Board of Equalization 2," 709,982"," 378,193"," 133,499"," 26,643"," 3,400"," 6,603"," 3,781"," 2,596"," 2,403"," 152,864"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Antioch," 64,606"," 35,424"," 10,785"," 2,722", 281, 573, 560, 305, 232," 13,724"
,Brentwood," 42,244"," 18,690"," 11,742"," 2,137", 132, 515, 196, 140, 127," 8,565"
,Clayton," 8,532"," 3,663"," 2,560", 427, 31, 108, 17, 13, 28," 1,685"
,Concord," 71,869"," 37,103"," 14,368"," 2,998", 386, 776, 403, 287, 254," 15,294"
,Danville," 32,049"," 13,648"," 9,530"," 1,369", 80, 321, 39, 68, 86," 6,908"
,El Cerrito," 17,439"," 12,318"," 1,098", 288, 153, 95, 75, 52, 68," 3,292"
,Hercules," 17,235"," 10,505"," 2,133", 518, 72, 111, 98, 53, 52," 3,693"
,Lafayette," 19,061"," 10,660"," 3,465", 627, 64, 201, 33, 32, 72," 3,907"
,Martinez," 25,835"," 13,563"," 5,394"," 1,118", 176, 352, 117, 80, 105," 4,930"
,Moraga," 11,495"," 6,056"," 2,132", 381, 40, 108, 25, 22, 36," 2,695"
,Oakley," 27,526"," 12,814"," 6,851"," 1,287", 107, 323, 158, 102, 95," 5,789"
,Orinda," 15,095"," 8,529"," 2,546", 445, 50, 133, 15, 56, 31," 3,290"
,Pinole," 12,226"," 7,257"," 1,825", 378, 67, 89, 58, 40, 38," 2,474"
,Pittsburg," 40,362"," 23,235"," 5,581"," 1,430", 155, 294, 370, 200, 150," 8,947"
,Pleasant Hill," 23,295"," 12,581"," 4,327", 977, 156, 261, 74, 49, 75," 4,795"
,Richmond," 58,391"," 38,483"," 4,384"," 1,453", 420, 341, 608, 329, 226," 12,147"
,San Pablo," 12,944"," 8,029"," 1,116", 354, 71, 72, 131, 106, 66," 2,999"
,San Ramon," 50,017"," 23,700"," 9,370"," 1,587", 188, 345, 121, 152, 151," 14,403"
,Walnut Creek," 49,495"," 27,156"," 9,496"," 1,738", 203, 452, 119, 129, 163," 10,039"
,,,,,,,,,,,
,Unincorporated Area," 110,266"," 54,779"," 24,796"," 4,409", 568," 1,133", 564, 381, 348," 23,288"
Contra Costa Totals,," 709,982"," 378,193"," 133,499"," 26,643"," 3,400"," 6,603"," 3,781"," 2,596"," 2,403"," 152,864"
     Percent,,,53.27%,18.80%,3.75%,0.48%,0.93%,0.53%,0.37%,0.34%,21.53%
,,,,,,,,,,,
Del Norte,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,418", 794, 848, 153, 20, 48, 28, 3, 7, 517
,County Supervisorial 2," 2,504", 817, 886, 161, 16, 38, 18, 0, 14, 554
,County Supervisorial 3," 3,348"," 1,085"," 1,388", 193, 25, 53, 13, 0, 7, 584
,County Supervisorial 4," 3,454", 826," 1,681", 167, 23, 47, 22, 3, 14, 671
,County Supervisorial 5," 2,912", 812," 1,164", 185, 18, 40, 19, 3, 7, 664
,,,,,,,,,,,
,US Congressional 2," 14,636"," 4,334"," 5,967", 859, 102, 226, 100, 9, 49," 2,990"
,,,,,,,,,,,
,State Senate 2," 14,636"," 4,334"," 5,967", 859, 102, 226, 100, 9, 49," 2,990"
,,,,,,,,,,,
,State Assembly 2," 14,636"," 4,334"," 5,967", 859, 102, 226, 100, 9, 49," 2,990"
,,,,,,,,,,,
,State Board of Equalization 2," 14,636"," 4,334"," 5,967", 859, 102, 226, 100, 9, 49," 2,990"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Crescent City," 1,882", 664, 612, 118, 20, 27, 23, 0, 9, 409
,,,,,,,,,,,
,Unincorporated Area," 12,754"," 3,670"," 5,355", 741, 82, 199, 77, 9, 40," 2,581"
Del Norte Totals,," 14,636"," 4,334"," 5,967", 859, 102, 226, 100, 9, 49," 2,990"
     Percent,,,29.61%,40.77%,5.87%,0.70%,1.54%,0.68%,0.06%,0.33%,20.43%
,,,,,,,,,,,
El Dorado,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 28,690"," 8,794"," 11,971"," 1,462", 85, 477, 53, 1, 219," 5,628"
,County Supervisorial 2," 26,988"," 8,034"," 11,937"," 1,558", 90, 554, 55, 0, 228," 4,532"
,County Supervisorial 3," 24,356"," 6,858"," 11,037"," 1,415", 126, 537, 83, 2, 244," 4,054"
,County Supervisorial 4," 27,802"," 6,977"," 13,560"," 1,641", 107, 643, 80, 1, 234," 4,559"
,County Supervisorial 5," 24,209"," 9,612"," 6,845"," 1,411", 228, 453, 159, 3, 257," 5,241"
,,,,,,,,,,,
,US Congressional 3," 41,489"," 13,926"," 15,103"," 2,500", 321, 890, 216, 4, 438," 8,091"
,US Congressional 5," 90,556"," 26,349"," 40,247"," 4,987", 315," 1,774", 214, 3, 744," 15,923"
,,,,,,,,,,,
,State Senate 4," 132,045"," 40,275"," 55,350"," 7,487", 636," 2,664", 430, 7," 1,182"," 24,014"
,,,,,,,,,,,
,State Assembly 1," 36,546"," 12,702"," 12,743"," 2,179", 299, 773, 202, 4, 383," 7,261"
,State Assembly 5," 95,499"," 27,573"," 42,607"," 5,308", 337," 1,891", 228, 3, 799," 16,753"
,,,,,,,,,,,
,State Board of Equalization 1," 132,045"," 40,275"," 55,350"," 7,487", 636," 2,664", 430, 7," 1,182"," 24,014"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Placerville," 6,207"," 2,222"," 2,271", 355, 35, 129, 34, 1, 58," 1,102"
,South Lake Tahoe," 11,595"," 5,036"," 2,598", 677, 136, 204, 103, 1, 126," 2,714"
,,,,,,,,,,,
,Unincorporated Area," 114,243"," 33,017"," 50,481"," 6,455", 465," 2,331", 293, 5, 998," 20,198"
El Dorado Totals,," 132,045"," 40,275"," 55,350"," 7,487", 636," 2,664", 430, 7," 1,182"," 24,014"
     Percent,,,30.50%,41.92%,5.67%,0.48%,2.02%,0.33%,0.01%,0.90%,18.19%
,,,,,,,,,,,
Fresno,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 88,506"," 39,353"," 21,128"," 3,622", 331, 846, 790, 640," 1,463"," 20,333"
,County Supervisorial 2," 121,780"," 42,126"," 46,863"," 5,543", 497," 1,456", 569, 446," 2,099"," 22,181"
,County Supervisorial 3," 82,283"," 39,034"," 15,492"," 3,252", 399, 753, 988, 627," 2,169"," 19,569"
,County Supervisorial 4," 90,622"," 36,013"," 28,164"," 3,345", 283, 894, 745, 543," 1,153"," 19,482"
,County Supervisorial 5," 123,850"," 37,025"," 53,810"," 5,859", 387," 1,607", 532, 505," 1,595"," 22,530"
,,,,,,,,,,,
,US Congressional 5," 79,589"," 25,644"," 33,727"," 3,626", 276, 939, 313, 239," 1,115"," 13,710"
,US Congressional 13," 35,617"," 14,452"," 10,534"," 1,323", 108, 308, 322, 235, 366," 7,969"
,US Congressional 20," 124,445"," 36,047"," 55,526"," 5,962", 434," 1,622", 489, 496," 1,672"," 22,197"
,US Congressional 21," 267,390"," 117,408"," 65,670"," 10,710"," 1,079"," 2,687"," 2,500"," 1,791"," 5,326"," 60,219"
,,,,,,,,,,,
,State Senate 12," 222,802"," 69,561"," 94,389"," 10,461", 788," 2,793", 899, 825," 3,118"," 39,968"
,State Senate 14," 275,291"," 121,885"," 66,405"," 10,795"," 1,077"," 2,655"," 2,686"," 1,898"," 5,257"," 62,633"
,State Senate 16," 8,948"," 2,105"," 4,663", 365, 32, 108, 39, 38, 104," 1,494"
,,,,,,,,,,,
,State Assembly 8," 202,811"," 61,807"," 88,477"," 9,509", 709," 2,531", 755, 703," 2,781"," 35,539"
,State Assembly 27," 63,961"," 26,660"," 17,653"," 2,590", 223, 624, 533, 432, 849," 14,397"
,State Assembly 31," 219,486"," 98,485"," 50,823"," 8,671", 895," 2,152"," 2,201"," 1,531"," 4,607"," 50,121"
,State Assembly 33," 20,783"," 6,599"," 8,504", 851, 70, 249, 135, 95, 242," 4,038"
,,,,,,,,,,,
,State Board of Equalization 1," 507,041"," 193,551"," 165,457"," 21,621"," 1,897"," 5,556"," 3,624"," 2,761"," 8,479"," 104,095"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Clovis," 74,542"," 21,962"," 33,082"," 3,545", 248, 973, 253, 290, 963," 13,226"
,Coalinga," 6,032"," 2,044"," 2,071", 265, 21, 58, 61, 31, 83," 1,398"
,Firebaugh," 3,332"," 1,640", 595, 93, 16, 33, 39, 29, 39, 848
,Fowler," 4,135"," 1,655"," 1,227", 182, 17, 48, 28, 27, 57, 894
,Fresno," 265,356"," 110,863"," 72,435"," 11,316"," 1,110"," 2,804"," 2,194"," 1,603"," 5,360"," 57,671"
,Huron," 1,321", 740, 159, 44, 4, 7, 10, 14, 11, 332
,Kerman," 7,482"," 3,141"," 1,958", 339, 22, 61, 60, 52, 70," 1,779"
,Kingsburg," 7,738"," 1,819"," 4,021", 332, 23, 92, 31, 35, 85," 1,300"
,Mendota," 3,214"," 1,831", 498, 69, 8, 30, 27, 28, 36, 687
,Orange Cove," 3,304"," 1,681", 500, 82, 9, 21, 54, 24, 36, 897
,Parlier," 5,129"," 2,749", 727, 125, 14, 42, 61, 39, 72," 1,300"
,Reedley," 11,431"," 4,365"," 3,666", 471, 38, 138, 94, 54, 130," 2,475"
,San Joaquin," 1,029", 602, 109, 22, 5, 7, 12, 4, 6, 262
,Sanger," 12,955"," 5,949"," 3,366", 465, 46, 136, 119, 77, 170," 2,627"
,Selma," 11,058"," 4,859"," 2,931", 372, 26, 107, 99, 76, 153," 2,435"
,,,,,,,,,,,
,Unincorporated Area," 88,983"," 27,651"," 38,112"," 3,899", 290, 999, 482, 378," 1,208"," 15,964"
Fresno Totals,," 507,041"," 193,551"," 165,457"," 21,621"," 1,897"," 5,556"," 3,624"," 2,761"," 8,479"," 104,095"
     Percent,,,38.17%,32.63%,4.26%,0.37%,1.10%,0.71%,0.54%,1.67%,20.53%
,,,,,,,,,,,
Glenn,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,531", 845," 1,033", 97, 12, 36, 20, 1, 11, 476
,County Supervisorial 2," 2,799", 805," 1,263", 157, 9, 33, 14, 2, 17, 499
,County Supervisorial 3," 3,109", 564," 1,805", 162, 9, 45, 11, 1, 13, 499
,County Supervisorial 4," 2,523", 662," 1,173", 126, 7, 33, 16, 1, 15, 490
,County Supervisorial 5," 2,617", 815," 1,190", 90, 4, 28, 15, 2, 20, 453
,,,,,,,,,,,
,US Congressional 1," 13,579"," 3,691"," 6,464", 632, 41, 175, 76, 7, 76," 2,417"
,,,,,,,,,,,
,State Senate 1," 13,579"," 3,691"," 6,464", 632, 41, 175, 76, 7, 76," 2,417"
,,,,,,,,,,,
,State Assembly 3," 13,579"," 3,691"," 6,464", 632, 41, 175, 76, 7, 76," 2,417"
,,,,,,,,,,,
,State Board of Equalization 1," 13,579"," 3,691"," 6,464", 632, 41, 175, 76, 7, 76," 2,417"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Orland," 3,542"," 1,237"," 1,382", 161, 16, 43, 25, 2, 17, 659
,Willows," 2,790", 737," 1,277", 143, 10, 40, 17, 1, 17, 548
,,,,,,,,,,,
,Unincorporated Area," 7,247"," 1,717"," 3,805", 328, 15, 92, 34, 4, 42," 1,210"
Glenn Totals,," 13,579"," 3,691"," 6,464", 632, 41, 175, 76, 7, 76," 2,417"
     Percent,,,27.18%,47.60%,4.65%,0.30%,1.29%,0.56%,0.05%,0.56%,17.80%
,,,,,,,,,,,
Humboldt,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 17,316"," 7,057"," 5,518", 766, 182, 268, 99, 72, 160," 3,194"
,County Supervisorial 2," 15,874"," 5,674"," 5,322", 820, 203, 262, 106, 95, 195," 3,197"
,County Supervisorial 3," 17,091"," 9,557"," 2,462", 588, 428, 250, 135, 65, 201," 3,405"
,County Supervisorial 4," 15,035"," 7,252"," 3,090", 668, 261, 221, 175, 114, 166," 3,088"
,County Supervisorial 5," 17,164"," 8,314"," 3,874", 704, 298, 249, 102, 111, 150," 3,362"
,,,,,,,,,,,
,US Congressional 2," 82,480"," 37,854"," 20,266"," 3,546"," 1,372"," 1,250", 617, 457, 872," 16,246"
,,,,,,,,,,,
,State Senate 2," 82,480"," 37,854"," 20,266"," 3,546"," 1,372"," 1,250", 617, 457, 872," 16,246"
,,,,,,,,,,,
,State Assembly 2," 82,480"," 37,854"," 20,266"," 3,546"," 1,372"," 1,250", 617, 457, 872," 16,246"
,,,,,,,,,,,
,State Board of Equalization 2," 82,480"," 37,854"," 20,266"," 3,546"," 1,372"," 1,250", 617, 457, 872," 16,246"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Arcata," 10,352"," 6,159", 962, 352, 286, 166, 103, 41, 123," 2,160"
,Blue Lake, 802, 424, 157, 32, 15, 8, 5, 5, 5, 151
,Eureka," 15,467"," 7,563"," 3,198", 644, 241, 236, 171, 110, 170," 3,134"
